cow,dinc_cl,dim,dinc_dim_cl,dinc_7d,dinc_dim_7d,vinc_cl,visits_cl,vinc_nv_cl,vinc_7d,visits_7d,vinc_nv_7d
1376,19,277,6.859205776173286,0.0,0.0,19,855,2.2222222222222223,0.0,25.0,0.0
1377,16,271,5.904059040590406,,,16,717,2.2315202231520224,,,
1378,21,273,7.6923076923076925,,,23,688,3.343023255813953,,,
1380,12,301,3.986710963455149,1.0,14.285714285714285,12,818,1.466992665036675,1.0,21.0,4.761904761904762
1382,33,306,10.784313725490197,0.0,0.0,35,874,4.004576659038902,0.0,2.0,0.0
1385,14,249,5.622489959839357,0.0,0.0,15,623,2.4077046548956664,0.0,18.0,0.0
1388,26,305,8.524590163934425,0.0,0.0,32,780,4.102564102564102,0.0,1.0,0.0
1389,17,312,5.448717948717949,1.0,14.285714285714285,18,593,3.0354131534569984,1.0,12.0,8.333333333333332
1391,8,256,3.125,0.0,0.0,8,718,1.1142061281337048,0.0,20.0,0.0
1395,2,184,1.0869565217391304,0.0,0.0,2,552,0.3623188405797101,0.0,23.0,0.0
1396,12,223,5.381165919282512,2.0,28.57142857142857,14,597,2.345058626465661,2.0,20.0,10.0
1397,17,249,6.827309236947792,1.0,14.285714285714285,19,688,2.761627906976744,1.0,21.0,4.761904761904762
1398,8,258,3.10077519379845,0.0,0.0,10,668,1.497005988023952,0.0,19.0,0.0
1399,11,254,4.330708661417323,0.0,0.0,14,701,1.9971469329529243,0.0,19.0,0.0
1400,14,231,6.0606060606060606,0.0,0.0,14,585,2.393162393162393,0.0,21.0,0.0
1401,36,252,14.285714285714285,1.0,14.285714285714285,55,635,8.661417322834646,1.0,18.0,5.555555555555555
1404,23,256,8.984375,1.0,14.285714285714285,23,953,2.413431269674711,1.0,30.0,3.333333333333333
1405,6,166,3.614457831325301,0.0,0.0,6,570,1.0526315789473684,0.0,22.0,0.0
1406,13,212,6.132075471698113,1.0,14.285714285714285,15,559,2.683363148479428,1.0,18.0,5.555555555555555
1407,10,215,4.651162790697675,0.0,0.0,12,572,2.097902097902098,0.0,19.0,0.0
1409,21,180,11.666666666666666,2.0,28.57142857142857,23,570,4.035087719298246,2.0,25.0,8.0
1410,21,253,8.300395256916996,0.0,0.0,21,636,3.30188679245283,0.0,18.0,0.0
1412,13,201,6.467661691542288,1.0,14.285714285714285,14,542,2.5830258302583027,1.0,17.0,5.88235294117647
1414,17,267,6.367041198501873,0.0,0.0,18,715,2.517482517482517,0.0,14.0,0.0
1417,11,223,4.932735426008969,0.0,0.0,11,620,1.7741935483870968,0.0,21.0,0.0
1418,14,121,11.570247933884298,0.0,0.0,14,266,5.263157894736842,0.0,17.0,0.0
1419,9,235,3.829787234042553,0.0,0.0,10,540,1.851851851851852,0.0,14.0,0.0
1422,2,251,0.796812749003984,0.0,0.0,2,668,0.2994011976047904,0.0,16.0,0.0
1423,14,195,7.179487179487179,0.0,0.0,15,531,2.824858757062147,0.0,20.0,0.0
1424,15,179,8.379888268156424,1.0,14.285714285714285,16,538,2.973977695167286,1.0,22.0,4.545454545454546
1425,19,147,12.925170068027212,0.0,0.0,25,407,6.142506142506143,0.0,18.0,0.0
1427,8,56,14.285714285714285,0.0,0.0,8,134,5.970149253731343,0.0,15.0,0.0
1429,22,203,10.83743842364532,1.0,14.285714285714285,23,583,3.945111492281304,1.0,21.0,4.761904761904762
1430,15,184,8.152173913043478,0.0,0.0,16,486,3.292181069958848,0.0,18.0,0.0
1432,5,92,5.434782608695652,0.0,0.0,5,246,2.032520325203252,0.0,20.0,0.0
1433,24,195,12.307692307692308,1.0,14.285714285714285,24,601,3.9933444259567383,1.0,21.0,4.761904761904762
1434,4,196,2.0408163265306123,0.0,0.0,4,462,0.8658008658008658,0.0,15.0,0.0
1435,12,130,9.230769230769232,0.0,0.0,13,341,3.812316715542522,0.0,21.0,0.0
1436,13,206,6.310679611650485,0.0,0.0,14,573,2.4432809773123907,0.0,22.0,0.0
1437,12,159,7.547169811320755,0.0,0.0,13,359,3.62116991643454,0.0,16.0,0.0
1440,6,149,4.026845637583892,0.0,0.0,6,469,1.279317697228145,0.0,20.0,0.0
1442,9,165,5.454545454545454,0.0,0.0,9,412,2.184466019417476,0.0,19.0,0.0
1443,17,114,14.912280701754383,0.0,0.0,18,273,6.593406593406594,0.0,19.0,0.0
1447,15,162,9.25925925925926,0.0,0.0,24,447,5.369127516778524,0.0,24.0,0.0
1449,5,131,3.816793893129771,0.0,0.0,5,353,1.41643059490085,0.0,18.0,0.0
1451,8,147,5.442176870748299,0.0,0.0,12,468,2.564102564102564,0.0,22.0,0.0
1453,7,93,7.526881720430108,1.0,14.285714285714285,7,259,2.702702702702702,1.0,23.0,4.3478260869565215
1454,13,109,11.926605504587156,0.0,0.0,14,270,5.185185185185185,0.0,20.0,0.0
1455,6,137,4.37956204379562,0.0,0.0,6,344,1.744186046511628,0.0,22.0,0.0
1456,5,131,3.816793893129771,0.0,0.0,5,413,1.2106537530266344,0.0,23.0,0.0
1457,2,38,5.263157894736842,2.0,28.57142857142857,2,108,1.851851851851852,2.0,23.0,8.695652173913043
1458,6,52,11.538461538461538,0.0,0.0,6,129,4.651162790697675,0.0,24.0,0.0
1460,19,107,17.75700934579439,1.0,14.285714285714285,21,286,7.3426573426573425,1.0,23.0,4.3478260869565215
1461,4,74,5.405405405405405,0.0,0.0,4,224,1.7857142857142856,0.0,20.0,0.0
1462,0,18,0.0,0.0,0.0,0,41,0.0,0.0,18.0,0.0
1463,2,72,2.7777777777777777,0.0,0.0,2,149,1.342281879194631,0.0,15.0,0.0
1465,3,107,2.803738317757009,0.0,0.0,3,262,1.1450381679389312,0.0,22.0,0.0
1468,5,78,6.41025641025641,0.0,0.0,5,186,2.6881720430107525,0.0,18.0,0.0
1470,2,39,5.128205128205128,0.0,0.0,3,116,2.586206896551724,0.0,28.0,0.0
1471,1,45,2.2222222222222223,0.0,0.0,1,117,0.8547008547008548,0.0,23.0,0.0
1472,18,61,29.508196721311474,2.0,28.57142857142857,24,152,15.789473684210526,3.0,18.0,16.666666666666664
1473,0,21,0.0,0.0,0.0,0,46,0.0,0.0,16.0,0.0
1474,1,73,1.36986301369863,0.0,0.0,1,189,0.5291005291005291,0.0,20.0,0.0
1475,1,39,2.564102564102564,0.0,0.0,1,82,1.2195121951219512,0.0,16.0,0.0
1476,1,34,2.941176470588235,1.0,14.285714285714285,1,89,1.1235955056179776,1.0,24.0,4.166666666666666
1477,1,72,1.3888888888888888,0.0,0.0,1,190,0.5263157894736842,0.0,21.0,0.0
1478,5,72,6.944444444444445,0.0,0.0,6,226,2.6548672566371683,0.0,23.0,0.0
1479,0,4,0.0,0.0,0.0,0,9,0.0,0.0,7.0,0.0
1480,1,27,3.7037037037037033,1.0,14.285714285714285,1,57,1.7543859649122806,1.0,15.0,6.666666666666667
1483,0,24,0.0,0.0,0.0,0,58,0.0,0.0,24.0,0.0
1484,0,1,0.0,0.0,0.0,0,4,0.0,0.0,2.0,0.0
1485,2,22,9.090909090909092,0.0,0.0,2,64,3.125,0.0,24.0,0.0
1486,7,64,10.9375,0.0,0.0,11,171,6.432748538011696,0.0,22.0,0.0
1487,1,25,4.0,1.0,14.285714285714285,1,64,1.5625,1.0,21.0,4.761904761904762
