cow,lp_group,variable,median,min,max,mean,count
1098,p,rf_vol,1.296320302810171,0.6616138778459983,1.8495041750132104,1.2890287644399403,493
1098,p,rf_vol2,1.2487294999309635,0.6428660636556442,1.7854292164628696,1.2415450337308789,493
1098,p,udder_circ,0.4583982848105847,0.4011314293330636,0.5462648493490212,0.45691032910838125,493
1098,p,udder_ecc,0.4583982848105847,0.4011314293330636,0.5462648493490212,0.45691032910838125,493
1098,p,volume,3.6407668732719256,1.3588348727466355,5.153348851229929,3.503008009723626,493
1098,p,volume2,3.523935369261684,1.331573678990621,4.995847951534024,3.382643797101048,493
1100,p,area,0.1854533433483104,0.1802485425075123,0.1976491204093022,0.18775338132522337,5
1100,p,back_eu,0.0049322064601227,0.0021493084741498,0.0842632648095617,0.0332140566908131,5
1100,p,back_geo,0.0050415083003635,0.0029262461954335,0.127089057623579,0.0521164192539129,5
1100,p,front_eu,0.1464500094493616,0.1400037608375409,0.1651142082758686,0.14880326087945686,5
1100,p,front_geo,0.2359526071131961,0.2344402254412521,0.24246281100379,0.2371144199219822,5
1100,p,lb_area,0.0369997657017014,0.035088207507536,0.046620231679828,0.03874602168884818,5
1100,p,lb_circ,3.523200631440471e-05,3.1585062242459433e-05,3.8525406796578e-05,3.4993385906222446e-05,5
1100,p,lb_ecc,0.4601768022479066,0.3045311840440172,0.5815639961528896,0.4592227914513538,5
1100,p,lb_vol,1.119506049791586,0.9229060565919148,1.1762295444935211,1.069531485961795,5
1100,p,lb_vol2,0.94863606127724,0.8288957909991341,1.0428437657979144,0.9372518142165098,5
1100,p,lf_area,0.0697979180392174,0.0646599140292293,0.0792575155157073,0.07154003130182521,5
1100,p,lf_circ,1.0052414912428596e-05,9.8108808688187e-06,1.0425414968822289e-05,1.0140329590663104e-05,5
1100,p,lf_ecc,0.7314933873609847,0.7227046295984672,0.7527584124827488,0.7360674034612403,5
1100,p,lf_vol,1.624127204135441,1.2127066157373578,1.6882082775875509,1.4868374633497774,5
1100,p,lf_vol2,1.5118729029463671,1.1809787623086303,1.63724321802281,1.4115700323560538,5
1100,p,rb_area,0.0282011682342643,0.0231303835766035,0.0313784442241875,0.02778782005000278,5
1100,p,rb_circ,8.388251790055669e-05,8.001812191278756e-05,9.400875049443176e-05,8.48327479606499e-05,5
1100,p,rb_ecc,0.7503781068636,0.694374067557543,0.8296857057996343,0.7641233715187926,5
1100,p,rb_vol,0.7344141913972756,0.576829763736406,0.795614064555504,0.7146148208521279,5
1100,p,rb_vol2,0.7456139473999848,0.5855152293502058,0.798016833256205,0.7306626143063072,5
1100,p,rf_area,0.0531646796012476,0.0523137286986578,0.0611370359830674,0.05466748148388818,5
1100,p,rf_circ,2.022224783012539e-05,1.9717135115962114e-05,2.229225689605056e-05,2.0455502829727833e-05,5
1100,p,rf_ecc,0.8984926553798982,0.8929364083841077,0.9031452608253816,0.8982668229146876,5
1100,p,rf_vol,1.336167885607236,1.207944533264451,1.524531247726932,1.3415279698247025,5
1100,p,rf_vol2,1.278263222112084,1.1437240274613474,1.4315125472295704,1.2676615795772523,5
1100,p,udder_circ,0.6659661497476409,0.6548007910232462,0.6830772992089842,0.6679356492703773,5
1100,p,udder_ecc,0.6659661497476409,0.6548007910232462,0.6830772992089842,0.6679356492703773,5
1100,p,volume,4.519520089849316,3.9868929222524288,4.606300871354019,4.3861660068792565,5
1100,p,volume2,4.077926340858345,3.726820870509573,4.3535191873725125,4.058208434767091,5
1102,p,area,0.233954193880531,0.1945043678897539,0.2567570138964862,0.23215027546820918,85
1102,p,back_eu,0.0740767565884233,0.0604206296980806,0.0897247127894067,0.07427929940541332,85
1102,p,back_geo,0.1398033001377787,0.1298201625736161,0.1664582291092046,0.13937507719999884,85
1102,p,front_eu,0.2166184333341407,0.1744994095054202,0.2305135945780519,0.21439277140703622,85
1102,p,front_geo,0.2675323184641959,0.2621579545950862,0.2719100084233112,0.2674044356624339,85
1102,p,lb_area,0.0311357425534632,0.0204764062352909,0.0520164352565222,0.03198904058252821,85
1102,p,lb_circ,5.1279951760321584e-05,3.490354156880227e-05,6.308356917361046e-05,5.035701229137246e-05,85
1102,p,lb_ecc,0.5421889677323332,0.1571827850522777,0.6606652111636654,0.519942007035075,85
1102,p,lb_vol,0.5682779975575841,0.197923666474583,1.289011721157536,0.6121624782751138,85
1102,p,lb_vol2,0.5861812882588114,0.2144207181831176,1.2608626733503023,0.6213569671076272,85
1102,p,lf_area,0.0759254959264239,0.0606417846346079,0.084042728145919,0.07528418569715745,85
1102,p,lf_circ,7.359263052976566e-06,6.773345858341653e-06,7.917466036667118e-06,7.3288051323992265e-06,85
1102,p,lf_ecc,0.7912517823904297,0.7327771714426399,0.8054981331529615,0.7855430701285746,85
1102,p,lf_vol,1.940925464959838,0.9166335367528718,2.7085443927944666,1.9195790834316069,85
1102,p,lf_vol2,1.900407393991999,0.9116745542449286,2.594524754091552,1.8582765549213351,85
1102,p,rb_area,0.0472240529531643,0.0360701164921059,0.0623655096642981,0.04712027728866301,85
1102,p,rb_circ,3.947052754703187e-05,3.414031543293472e-05,5.234139315520204e-05,4.111851158163008e-05,85
1102,p,rb_ecc,0.797399413056355,0.67467633393865,0.8442249022277726,0.7818111576622937,85
1102,p,rb_vol,0.8211425537504747,0.3856317251987989,1.39036622462175,0.803689685537296,85
1102,p,rb_vol2,0.7606620999428079,0.3751035621937005,1.3705461922925286,0.7611692631604637,85
