Animal Number;Animal Name;Group Name;Avg Daily Yield Last 7d;Avg. Daily Milkings Last 7 Days;Avg. Daily Kick-Off Milkings Last 7d;Total Kick-Offs Last 7d;LF Avg. Daily Kick-Off Milkings Last 7d;RF Avg. Daily Kick-Off Milkings Last 7d;LR Avg. Daily Kick-Off Milkings Last 7d;RR Avg. Daily Kick-Off Milkings Last 7d;Performance Index
948;;VMS 1&2 group;34.01;2.4;0.00;;0.00;0.00;0.00;0.00;100
921;;VMS 1&2 group;31.52;2.6;0.00;;0.00;0.00;0.00;0.00;100
935;;VMS 1&2 group;51.39;3.3;0.00;;0.00;0.00;0.00;0.00;100
924;;VMS 1&2 group;61.90;3.7;0.00;;0.00;0.00;0.00;0.00;100
922;;VMS 1&2 group;48.33;2.4;0.00;;0.00;0.00;0.00;0.00;100
915;;VMS 1&2 group;46.46;2.7;0.00;;0.00;0.00;0.00;0.00;100
912;;VMS 1&2 group;29.58;1.4;0.00;;0.00;0.00;0.00;0.00;100
905;;VMS 1&2 group;35.35;2.9;0.00;;0.00;0.00;0.00;0.00;100
904;;VMS 1&2 group;58.60;3.4;0.00;;0.00;0.00;0.00;0.00;100
897;;VMS 1&2 group;49.20;2.7;0.00;;0.00;0.00;0.00;0.00;100
868;;VMS 1&2 group;63.09;3.1;0.00;;0.00;0.00;0.00;0.00;100
856;;VMS 1&2 group;56.97;3.1;0.00;;0.00;0.00;0.00;0.00;100
855;;VMS 3 & 4 Group;;0.0;0.00;;0.00;0.00;0.00;0.00;
842;;VMS 1&2 group;49.62;2.6;0.00;;0.00;0.00;0.00;0.00;100
837;;VMS 1&2 group;44.05;2.7;0.00;;0.00;0.00;0.00;0.00;100
833;;VMS 1&2 group;38.56;2.7;0.00;;0.00;0.00;0.00;0.00;100
808;;VMS 1&2 group;59.53;3.9;0.00;;0.00;0.00;0.00;0.00;100
807;;VMS 1&2 group;57.53;3.6;0.00;;0.00;0.00;0.00;0.00;100
785;;VMS 1&2 group;51.53;3.4;0.00;;0.00;0.00;0.00;0.00;100
778;;VMS 1&2 group;49.34;3.7;0.00;;0.00;0.00;0.00;0.00;100
764;;VMS 3 & 4 Group;45.99;2.7;0.00;;0.00;0.00;0.00;0.00;100
738;;VMS 1&2 group;32.85;2.9;0.00;;0.00;0.00;0.00;0.00;100
736;;VMS 1&2 group;35.00;2.4;0.00;;0.00;0.00;0.00;0.00;100
729;;VMS 1&2 group;66.11;2.6;0.00;;0.00;0.00;0.00;0.00;100
723;;VMS 1&2 group;40.88;2.0;0.00;;0.00;0.00;0.00;0.00;100
722;;VMS 1&2 group;72.86;2.7;0.00;;0.00;0.00;0.00;0.00;100
703;;VMS 1&2 group;44.96;2.7;0.00;;0.00;0.00;0.00;0.00;100
686;;VMS 3 & 4 Group;71.17;3.4;0.00;;0.00;0.00;0.00;0.00;100
628;;VMS 1&2 group;46.48;3.0;0.00;;0.00;0.00;0.00;0.00;100
627;;VMS 1&2 group;55.62;2.4;0.00;;0.00;0.00;0.00;0.00;100
454;Nova;VMS 1&2 group;23.85;2.6;0.00;;0.00;0.00;0.00;0.00;100
