filename,cow,img_class,pbad,pgood
729_20231117_112927_frame_388,729,1,0.0025458799209445715,0.9974541068077087
929_20231117_151607_frame_436,929,0,0.6115684509277344,0.388431578874588
1359_20231117_124049_frame_470,1359,0,0.9949958324432373,0.005004162434488535
785_20231117_125124_frame_906,785,0,0.999998927116394,1.0926912636932684e-06
1295_20231117_130928_frame_148,1295,1,0.9988693594932556,0.0011306265369057655
1236_20231117_142505_frame_574,1236,1,0.9788723587989807,0.0211276076734066
1223_20231117_110830_frame_760,1223,1,0.2607057988643646,0.7392942309379578
1329_20231117_132115_frame_492,1329,1,0.003658193163573742,0.9963417649269104
1320_20231117_132737_frame_326,1320,1,0.0004952054005116224,0.999504804611206
1293_20231117_112814_frame_184,1293,1,0.008698530495166779,0.9913014769554138
915_20231117_123346_frame_864,915,0,0.8635646104812622,0.1364353895187378
1262_20231117_121934_frame_33,1262,0,0.9961488246917725,0.0038512125611305237
981_20231117_133039_frame_602,981,0,0.999843955039978,0.00015605289081577212
785_20231117_125124_frame_254,785,0,0.997923731803894,0.0020762556232511997
807_20231117_175347_frame_345,807,0,0.9597350358963013,0.040264956653118134
1236_20231117_142505_frame_815,1236,1,0.9967249035835266,0.003275137860327959
