                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     84,                0.60389,                0.25763,                0.17448,                0.45815,                 1.1805,                0.98142,                0.97963,                0.98661,                0.88202,                0.99867,                0.99685,                0.99438,                0.68907,                0.51604,                0.99514,                 0.0375,                0.35266,                 1.0628,              0.0003764,              0.0003764,              0.0003764
                     85,                0.60115,                0.24876,                0.16965,                0.45731,                 1.1735,                0.98134,                0.98146,                0.98169,                0.92835,                0.97737,                0.97748,                0.97223,                0.89557,                0.35182,                0.45307,                0.01292,                0.27053,                0.90537,              0.0003566,              0.0003566,              0.0003566
                     86,                0.59155,                0.25394,                0.18064,                0.44484,                 1.1663,                0.98134,                0.98146,                0.96949,                   0.91,                0.99856,                0.99868,                0.99423,                0.90961,                0.37976,                0.37721,                0.07199,                0.28225,                0.93787,              0.0003368,              0.0003368,              0.0003368
                     87,                0.58825,                0.25704,                0.17374,                0.44312,                 1.1694,                0.98135,                0.98146,                0.98522,                0.91294,                 0.9999,                      1,                  0.995,                0.91929,                0.39867,                0.40781,                0.03288,                0.26561,                 0.9394,               0.000317,               0.000317,               0.000317
                     88,                  0.594,                0.25379,                0.16736,                0.46004,                 1.1692,                0.98136,                0.98146,                0.97974,                0.89047,                0.98004,                0.98013,                0.98206,                 0.8227,                0.48202,                 0.6358,                0.01377,                0.26709,                0.97798,              0.0002972,              0.0002972,              0.0002972
                     89,                0.57809,                0.25379,                0.17032,                 0.4447,                 1.1623,                0.98135,                0.98146,                0.98341,                0.90945,                0.99062,                0.99073,                0.99209,                0.91543,                0.39884,                0.39373,                0.01841,                0.26015,                0.92635,              0.0002774,              0.0002774,              0.0002774
                     90,                0.58733,                0.24826,                0.17078,                0.44614,                 1.1621,                0.96315,                0.97086,                0.97762,                0.86653,                0.97107,                0.97616,                0.98089,                0.74508,                0.56406,                0.91504,                0.05064,                0.35176,                 1.0908,              0.0002576,              0.0002576,              0.0002576
                     91,                0.42749,                0.26621,                0.01119,                0.33518,                 1.0983,                0.98136,                0.98146,                0.97963,                0.85164,                 0.9999,                      1,                  0.995,                0.75901,                0.64552,                0.76664,                0.02801,                0.31903,                 1.1395,              0.0002378,              0.0002378,              0.0002378
                     92,                0.39753,                0.18598,                0.00993,                0.28057,                 1.0626,                0.98145,                0.98133,                0.98338,                0.85299,                      1,                0.99986,                  0.995,                0.70365,                0.63609,                0.87196,                0.02568,                0.32589,                 1.1267,               0.000218,               0.000218,               0.000218
                     93,                0.37013,                0.17517,                0.00981,                 0.2663,                 1.0266,                0.95557,                0.88315,                0.94751,                0.71432,                0.97422,                0.90089,                0.97128,                0.68276,                0.92865,                 1.0959,                0.10872,                0.57607,                  1.486,              0.0001982,              0.0001982,              0.0001982
